COMMANDO;;;;;;;;;r;;;;
CONTENT MANAGEMENT SYSTEM;;;Jenis Konten;Kategori dalam Agset BUMN;Jenis Media Plan;Aktualisasi;Media;Jenis Konten;;;Creator;Review;Process
964;21 Mei 2025;"Hari Kebangkitan Nasional ke-117
Mewujudkan Indonesia yang Kuat";Campaign ASABRI;;;Realisasi;LinkedIn;Video;"Halo #SobatASABRI

Hari Kebangkitan Nasional ke-117
Mewujudkan Indonesia yang Kuat

ASABRI akan terus melangkah,
karena kami adalah Sahabat Perjuangan Anda Sepanjang Masa.
Bangkit Bersama, Bahu Membahu, Wujudkan Indonesia Kuat.

#HariKebangkitanNasional
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.linkedin.com/posts/pt-asabri-persero_sobatasabri-harikebangkitannasional-sahabatperjuanganandasepanjangmasa-activity-7330869127886057473-x-hH?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
965;23 Mei 2025;BERSERI: Program Jaminan Kecelakaan Kerja (JKK);Berseri;;;Realisasi;LinkedIn;Video;"Halo #SobatASABRI 
 
Sekarang memasuki waktunya BERSERI nih... #BertanyaSeputarASABRI ?? 
 
Ingin tahu terkait Program Jaminan Kecelakaan Kerja? 
 
Yuk simak dan ketahui informasi yang tersedia sesuai infografis berikut ya… 
 
Untuk informasi lebih lanjut, Sobat dapat mengunjungi Website ASABRI www.asabri.co.id atau mengunjungi Kantor Cabang ASABRI sesuai wilayah masing-masing ya Sobat… 
 
#BertanyaSeputarASABRI 
#SahabatPerjuanganAndaSepanjangMasa 
#ASABRIuntukIndonesia 
#BUMNuntukIndonesia";https://www.linkedin.com/posts/pt-asabri-persero_sobatasabri-bertanyaseputarasabri-bertanyaseputarasabri-activity-7330839293239742464-SXlU?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
966;20 Mei 2025;Selamat Hari Kebangkitan Nasional;Hari Besar Nasional;;;Realisasi;LinkedIn;Infografis;"Halo #SobatAsabri

Dari semangat masa lalu, kita bangun masa depan.
Saatnya bangkit, berdaya, dan berkarya demi Indonesia yang kuat dan maju.

Bangkit Bersama, Wujudkan Indonesia Kuat.

ASABRI,
Sahabat Perjuangan Anda Sepanjang Masa

#HariKebangkitanNasional
#SemangatMelayanidariASABRIuntukIndonesia
#Sahabat Perjuangan Anda Sepanjang Masa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.linkedin.com/posts/pt-asabri-persero_sobatasabri-harikebangkitannasional-semangatmelayanidariasabriuntukindonesia-activity-7330385285345693696-_ojG?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
967;19 Mei 2025;Semangat Hari Senin;Senin Semangat;;;Realisasi;LinkedIn;Video;"Halo #SobatASABRI
Selamat dan Semangat Hari Senin!

Di balik setiap pengabdian para penjaga bangsa, ada semangat Insan ASABRI yang terus melayani sepenuh hati demi Indonesia.

ASABRI Sahabat Perjuangan Anda Sepanjang Masa.
BUMN Untuk Indonesia.

#SemangatSenin
#SemangatMelayanidariASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia
";https://www.linkedin.com/posts/pt-asabri-persero_sobatasabri-semangatsenin-semangatmelayanidariasabriuntukindonesia-activity-7330040275400056832-hN7s?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
968;16 Mei 2025;Sesaat Terjadi Ledakan di Garut, ASABRI Bergerak Cepat;Campaign ASABRI;;;Realisasi;LinkedIn;Infografis;"Halo #SobatASABRI 

PT ASABRI (Persero) menyampaikan duka cita yang mendalam atas musibah ledakan Disposal Munisi yang terjadi pada Senin, 12 Mei 2025 di Desa Sagara, Kecamatan Cibalong, Kabupaten Garut, Jawa Barat, yang telah merenggut nyawa Prajurit terbaik bangsa yang tercatat sebagai Peserta ASABRI. Peristiwa memilukan ini mengakibatkan 4 Prajurit TNI wafat dan meninggalkan duka yang mendalam bagi keluarga.

ASABRI, 
Sahabat Perjuangan Anda Sepanjang Masa 

#SemangatMelayanidariASABRIuntukIndonesia 
#SahabatPerjuanganAndaSepanjangMasa 
#ASABRIuntukIndonesia 
#BUMNuntukIndonesia";https://www.linkedin.com/posts/pt-asabri-persero_asabri-gerak-cepat-melayani-activity-7329017923300196352-csW8?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
969;12 Mei 2025;Selamat Hari Raya Waisak;Hari Besar Nasional;;;Realisasi;LinkedIn;Infografis;"Halo #SobatASABRI 

Dalam terang Waisak, marilah kita menumbuhkan cinta kasih tanpa batas, membebaskan diri dari kemelekatan, dan melangkah menuju pencerahan sejati. 

Selamat Hari Raya Waisak 2569 BE
""Tingkatkan Pengendalian Diri dan Kebijaksanaan Mewujudkan Perdamaian Dunia""

Semoga cahaya kebijaksanaan menerangi hati dan pikiran kita semua, membawa kedamaian, kasih sayang, serta kebahagiaan yang abadi. 

ASABRI, 
Sahabat Perjuangan Anda Sepanjang Masa 
 
#HariWaisak2569BE
#SemangatMelayanidariASABRIuntukIndonesia 
#SahabatPerjuanganAndaSepanjangMasa 
#ASABRIuntukIndonesia 
#BUMNuntukIndonesia";https://www.linkedin.com/posts/pt-asabri-persero_sobatasabri-hariwaisak2569be-semangatmelayanidariasabriuntukindonesia-activity-7327481552056004609-epDz?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
970;11 Mei 2025;Selamat Ulang Tahun Direktur Hubungan Antar Lembaga PT ASABRI (Persero);Hari Penting;;;Realisasi;LinkedIn;Infografis;"Dewan Komisaris, Direksi dan Karyawan PT ASABRI (Persero) mengucapkan Selamat Ulang Tahun kepada Direktur Hubungan Kelembagaan PT ASABRI (Persero) Khaidir Abdurrahman.

Semoga senantiasa diberikan kesehatan, kesuksesan, dan kebahagiaan.

#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia
";https://www.linkedin.com/posts/pt-asabri-persero_sahabatperjuanganandasepanjangmasa-asabriuntukindonesia-activity-7327145747844341761-KvyO?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
971;08 Mei 2025;Dari Kita, Oleh Kita, Untuk Bumi Kita;TJSL;;;Realisasi;LinkedIn;Infografis;"Halo #SobatASABRI 

Sebagai bentuk komitmen nyata ASABRI terhadap Tujuan Pembangunan Berkelanjutan (TPB/SDGs) Nomor 12: Konsumsi dan Produksi yang Bertanggung Jawab, ASABRI membuat gerakan kolaborasi bersama dengan Peserta ASABRI yaitu Pengurus Pusat Jalasenastri dan sustainable fashion designer yaitu Adrie Basuki melalui Program RESTORASI untuk Indonesia.

Untuk informasi selengkapnya, silakan #Sobat cek postingan berikut ya.

ASABRI, 
Sahabat Perjuangan Anda Sepanjang Masa 

#ProgramTJSLASABRI
#AksiTJSLASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa 
#ASABRIuntukIndonesia 
#BUMNuntukIndonesia";https://www.linkedin.com/posts/pt-asabri-persero_aksi-tjsl-asabri-untuk-indonesia-activity-7326084742108368897-VXil?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
972;07 Mei 2025;Kami Hadir Menjaga Peserta yang telah Menjaga Negeri;Campaign ASABRI;;;Realisasi;LinkedIn;Infografis;"Halo #SobatASABRI 

Sebagai BUMN yang lahir dari Amanah Negara, ASABRI berdiri teguh menjaga Integritas, Kinerja, dan Harapan, demi kesejahteraan Peserta dan Keluarga Sepanjang Masa.

Untuk mengetahui informasi selengkapnya seputar ASABRI, Sobat dapat mengunjungi Website ASABRI di www.asabri.co.id.

ASABRI, 
Sahabat Perjuangan Anda Sepanjang Masa 

#ManfaatProgramASABRI
#SemangatMelayanidariASABRIuntukIndonesia 
#SahabatPerjuanganAndaSepanjangMasa 
#ASABRIuntukIndonesia 
#BUMNuntukIndonesia";https://www.linkedin.com/posts/pt-asabri-persero_asabri-sahabat-perjuangan-anda-sepanjang-activity-7325835695346929664-E3Ou?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
973;05 Mei 2025;Dokumentasi Satria Veteran;Campaign ASABRI;;;Realisasi;LinkedIn;Video;"Halo #SobatASABRI 

SATRIA VETERAN menjawab seruan zaman: bahwa pendidikan adalah hak sepanjang hayat, bukan hanya milik anak muda, tapi juga milik mereka yang telah melewati masa tugas dengan penuh kehormatan.

Kami tidak ingin membiarkan masa tua sekadar menjadi masa tunggu. Kami ingin menjadikannya masa yang terus hidup—penuh warna, makna, dan kebahagiaan.

Ini bagian dari momentum kami merayakan Hari Pendidikan Nasional. Menghadirkan Pendidikan yang inklusif untuk Para Peserta Kami.

SATRIA VETERAN adalah langkah awal dari ASABRI untuk mewujudkan Kesejahteraan Peserta, terutama Peserta Pensiun.

Untuk mengetahui informasi selengkapnya seputar ASABRI, Sobat dapat mengunjungi Website ASABRI di www.asabri.co.id.

ASABRI, 
Sahabat Perjuangan Anda Sepanjang Masa 

#SATRIAVETERAN
#SemangatMelayanidariASABRIuntukIndonesia 
#SahabatPerjuanganAndaSepanjangMasa 
#ASABRIuntukIndonesia 
#BUMNuntukIndonesia";https://www.linkedin.com/posts/pt-asabri-persero_sobatasabri-satriaveteran-semangatmelayanidariasabriuntukindonesia-activity-7325047045155684352-24pc?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
974;05 Mei 2025;Semangat Hari Senin;Senin Semangat;;;Realisasi;LinkedIn;Video;"Halo #SobatASABRI 
Selamat dan Semangat Hari Senin! 

Di setiap langkah Pejuang Bangsa, ada harapan yang terus menyala untuk Indonesia.

Insan ASABRI hadir melayani anda sepenuh hati.

ASABRI Sahabat Perjuangan Anda Sepanjang Masa. 
BUMN Untuk Indonesia.

#SemangatSenin
#SemangatMelayanidariASABRIuntukIndonesia
#Sahabat PerjuanganAnda Sepanjang Masa 
#ASABRIuntukIndonesia 
#BUMNuntukIndonesia";https://www.linkedin.com/posts/pt-asabri-persero_sobatasabri-semangatsenin-semangatmelayanidariasabriuntukindonesia-activity-7324968357642805250-r7Bx?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
975;02 Mei 2025;Peluncuran & Peresmian Satria Veteran;Campaign ASABRI;;;Realisasi;LinkedIn;Infografis;"Halo #SobatASABRI 

Inilah semangat baru yang digelorakan PT ASABRI (Persero) melalui peluncuran SATRIA VETERAN, program Sekolah pertama yang didedikasikan khusus untuk para Peserta Pensiun ASABRI. 

Program ini menjadi bukti nyata bahwa ASABRI terus bertransformasi menjadi BUMN yang peduli dan relevan dengan kebutuhan masa depan, khususnya dalam menjawab tantangan peningkatan usia harapan hidup di Indonesia.

Untuk mengetahui informasi selengkapnya seputar ASABRI, Sobat dapat mengunjungi Website ASABRI di www.asabri.co.id.

ASABRI, 
Sahabat Perjuangan Anda Sepanjang Masa 

#SATRIAVETERAN
#SemangatMelayanidariASABRIuntukIndonesia 
#SahabatPerjuanganAndaSepanjangMasa 
#ASABRIuntukIndonesia 
#BUMNuntukIndonesia";https://www.linkedin.com/posts/pt-asabri-persero_sobatasabri-satriaveteran-semangatmelayanidariasabriuntukindonesia-activity-7324069213034156032-uIVC?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
976;02 Mei 2025;Pendidikan Masa Depan dan Harapan;Campaign ASABRI;;;Realisasi;LinkedIn;Infografis;"Halo #SobatASABRI 

Selamat Hari Pendidikan Nasional
2 Mei 2025

Belajar bukan hanya di sekolah, tetapi sepanjang hidup. Saatnya kita bertumbuh, bermimpi, dan berjuang bersama. 

ASABRI, 
Sahabat Perjuangan Anda Sepanjang Masa 

#HariPendidikanNasional 
#SemangatMelayanidariASABRIuntukIndonesia 
#SahabatPerjuanganAndaSepanjangMasa 
#ASABRIuntukIndonesia 
#BUMNuntukIndonesia";https://www.linkedin.com/posts/pt-asabri-persero_hari-pendidikan-nasional-asabri-2025-activity-7323899365515743232-fYml?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
977;02 Mei 2025;Selamat Hari Pendidikan Nasional;Hari Besar Nasional;;;Realisasi;LinkedIn;Infografis;"Halo #SobatASABRI 

Selamat Hari Pendidikan Nasional 
Bangkitkan semangat belajar, nyalakan cahaya masa depan!

Pendidikan bukan hanya tentang membaca dan menulis, tetapi tentang membentuk karakter, membangun mimpi, dan menciptakan masa depan yang lebih baik untuk semua.

ASABRI, 
Sahabat Perjuangan Anda Sepanjang Masa 

#HariPendidikanNasional 
#SemangatMelayanidariASABRIuntukIndonesia 
#SahabatPerjuanganAndaSepanjangMasa 
#ASABRIuntukIndonesia 
#BUMNuntukIndonesia";https://www.linkedin.com/posts/pt-asabri-persero_sobatasabri-haripendidikannasional-semangatmelayanidariasabriuntukindonesia-activity-7323860004032151552-Bt_F?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
978;01 Mei 2025;Selamat Hari Buruh Internasional;Hari Besar Nasional;;;Realisasi;LinkedIn;Infografis;"Halo #SobatASABRI 
Selamat Hari Buruh Internasional
1 Mei 2025

Pekerja adalah fondasi, inovator, dan masa depan perusahaan. Terima kasih atas semangat, kerja keras, dan kontribusi nyata yang tidak hanya membangun perusahaan, tetapi juga membangun negeri. 

Mari terus berkarya, berinovasi, dan berkontribusi demi masa depan bangsa yang lebih baik. 

ASABRI, 
Sahabat Perjuangan Anda Sepanjang Masa 

#HariBuruhInternasional 
#SemangatMelayanidariASABRIuntukIndonesia 
#SahabatPerjuanganAndaSepanjangMasa 
#ASABRIuntukIndonesia 
#BUMNuntukIndonesia";https://www.linkedin.com/posts/pt-asabri-persero_sobatasabri-hariburuhinternasional-semangatmelayanidariasabriuntukindonesia-activity-7323505384965505024-WESZ?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
979;30 April 2025;ASABRI memberikan Perlindungan bagi Prajurit Tentara Nasional Indonesia;Campaign ASABRI;;;Realisasi;LinkedIn;Infografis;"Halo #SobatASABRI

ASABRI memberikan Perlindungan bagi Prajurit Tentara Nasional Indonesia, Anggota Kepolisian Negara Republik Indonesia, dan Pegawai Aparatur Sipil Negara di Lingkungan Kementerian Pertahanan dan Kepolisian Negara Republik Indonesia dari masa Aktif hingga masa Pensiun.

Sesuai dengan Peraturan Pemerintah Republik Indonesia Nomor 102 Tahun 2015 sebagaimana telah diubah dengan Peraturan Pemerintah Republik Indonesia Nomor 54 Tahun 2020, ASABRI mengelola Program Tabungan Hari Tua, Jaminan Kecelakaan Kerja, Jaminan Kematian, dan Pensiun.

Dengan amanah tersebut, sebagai BUMN, ASABRI juga terus berkomitmen memberikan layanan yang berkualitas, akses yang mudah, dan manfaat yang berdampak sehigga ASABRI dapat terus menjadi Sahabat Perjuangan Peserta Sepanjang Masa.

#ProgramASABRI
#SahabatPerjuanganAndaMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.linkedin.com/posts/pt-asabri-persero_sobatasabri-programasabri-sahabatperjuanganandamasa-activity-7323280686537154561-VN46?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
980;30 April 2025;Ketika Informasi Bukan Sekedar Data;Campaign ASABRI;;;Realisasi;LinkedIn;Infografis;"Halo #SobatASABRI

Dalam Rangka Hari Keterbukaan Informasi Nasional dan Memaknai Lahirnya Undang-Undang Nomor 14 Tahun 2008, ASABRI hadir bukan hanya sebagai Badan Publik yang taat akan regulasi, tapi juga sebagai Badan Publik yang memiliki komitmen untuk mewujudkan Perusahaan yang transparan dan akuntabel.

ASABRI memaknai keterbukaan bukan menjadi sebuah pilihan, namun sebagai bentuk tanggung jawab.

Untuk mengetahui informasi selengkapnya seputar ASABRI, Sobat dapat mengunjungi Website ASABRI di www.asabri.co.id.

ASABRI, 
Sahabat Perjuangan Anda Sepanjang Masa

#KeterbukaanInformasiPublik
#HakAndaUntukTahu
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIUntukIndonesia
#BUMNUntukIndonesia";https://www.linkedin.com/posts/pt-asabri-persero_sobatasabri-keterbukaaninformasipublik-hakandauntuktahu-activity-7323193754092240896-O0S8?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
981;30 April 2025;Hari Keterbukaan Informasi Nasional;Hari Besar Nasional;;;Realisasi;LinkedIn;Infografis;"Halo #SobatASABRI

Selamat Hari Keterbukaan Informasi Nasional
30 April 2025

PT ASABRI (Persero) mendukung Keterbukaan Informasi sebagai Energi Demokrasi. 

Dengan akses informasi yang mudah, Bersama kita membangun pondasi untuk pembangunan yang inklusif, berkeadilan dan membawa manfaat nyata untuk semua lapisan masyarakat.

Untuk mengetahui informasi selengkapnya seputar ASABRI, Sobat dapat mengunjungi Website ASABRI di www.asabri.co.id. 

ASABRI, 
Sahabat Perjuangan Anda Sepanjang Masa

#KeterbukaanInformasiPublik
#HakAndaUntukTahu
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIUntukIndonesia
#BUMNUntukIndonesia";https://www.linkedin.com/posts/pt-asabri-persero_sobatasabri-keterbukaaninformasipublik-hakandauntuktahu-activity-7323137956066578434-FuHV?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
982;29 April 2025;ASABRI Link di wilayah Kantor Cabang Semarang dan sekitarnya;Campaign ASABRI;;;Realisasi;LinkedIn;Video;"Halo #SobatASABRI

Sebagai salah satu bentuk Layanan ASABRI Untuk Indonesia, ASABRI telah menghadirkan ASABRI Link di wilayah Kantor Cabang Semarang dan sekitarnya loh..

Bagi #SobatASABRI yang berdomisili di wilayah Kantor Cabang Semarang dan sekitarnya, Sobat dapat mengunjungi Kantor Cabang ASABRI Semarang dan beberapa ASABRI Link yang tersedia sesuai informasi yang tertera pada infografis berikut ya.

Untuk informasi media sosial atau kontak resmi Kantor Cabang ASABRI Semarang, Sobat bisa mengunjungi @asabri_kcsemarang ya.

ASABRI Link, lebih dekat melayani Peserta

#LayananASABRI
#ASABRILink
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.linkedin.com/posts/pt-asabri-persero_sobatasabri-sobatasabri-layananasabri-activity-7322949097097723905-2ZwT?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
983;28 April 2025;"Selamat dan Semangat Hari Senin! 
";Senin Semangat;;;Realisasi;LinkedIn;Infografis;"Halo #SobatASABRI 
Selamat dan Semangat Hari Senin! 

Setiap langkah perjalanan Anda, Insan ASABRI selalu hadir untuk Peserta.
Kami hadir memastikan hak dan masa depan peserta tetap terjamin. 

ASABRI Sahabat Perjuangan Anda Sepanjang Masa. 
BUMN Untuk Indonesia.

#SemangatSenin
#SemangatMelayanidariASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa 
#ASABRIuntukIndonesia 
#BUMNuntukIndonesia";https://www.linkedin.com/posts/pt-asabri-persero_sobatasabri-semangatsenin-semangatmelayanidariasabriuntukindonesia-activity-7322422172646264832-Lklz?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
984;25 April 2025;Jumat Sehat ASABRI;Campaign ASABRI;;;Realisasi;LinkedIn;Infografis;"Halo #SobatASABRI

Bergerak, bersama, berdampak
Untuk Indonesia

Manajemen dan karyawan ASABRI menyatukan tekad,
Langkah seirama penuh semangat,
Menyeimbangkan kerja dan gaya hidup yang sehat.

Ini wujud nyata employee well-being yang berkualitas.
Memastikan ruang untuk jiwa dan raga yang kuat,
Agar kinerja makin hebat dan berdampak untuk kesejahteraan peserta.

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa

#BergerakBersamaBerdampak
#JumatSehatASABRI
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.linkedin.com/posts/pt-asabri-persero_sobatasabri-bergerakbersamaberdampak-jumatsehatasabri-activity-7321540056932888576-5ClB?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
985;23 April 2025;Memperingati Hari Raya Galungan & Kuningan;Hari Besar Nasional;;;Realisasi;LinkedIn;Infografis;"Halo #SobatASABRI 

Galungan dan Kuningan adalah pengingat akan harmoni antara dunia spiritual dan dunia nyata. 

Selamat Hari Raya Galungan & Kuningan. Semoga Tuhan Yang Maha Kuasa senantiasa memberikan kesejahteraan dan keselamatan alam semesta ini.

#GalunganKuningan 
#SemangatMelayanidariASABRIuntukIndonesia 
#SahabatPerjuanganAndaSepanjangMasa 
#ASABRIuntukIndonesia 
#BUMNuntukIndonesia";https://www.linkedin.com/posts/pt-asabri-persero_sobatasabri-galungankuningan-semangatmelayanidariasabriuntukindonesia-activity-7320713937308524547-OrvN?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
986;22 April 2025;Selamat Hari Bumi;Hari Penting;;;Realisasi;LinkedIn;Infografis;"Halo #SobatASABRI

Menjaga bumi bukan pilihan, tapi tanggung jawab kita bersama.

Kini saatnya kita menjaga dan merawatnya. Reduce, reuse, recycle.

ASABRI 
Sahabat Perjuangan Anda Sepanjang Masa.

#HariBumi
#SemangatMelayanidariASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.linkedin.com/posts/pt-asabri-persero_sobatasabri-haribumi-semangatmelayanidariasabriuntukindonesia-activity-7320277822348918784-_sc-?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
987;21 April 2025;Semangat Hari Senin;Senin Semangat;;;Realisasi;LinkedIn;Video;"Halo #SobatASABRI 
Selamat dan Semangat Hari Senin! 

Kartini ASABRI bagaikan cahaya semangat yang tak pernah padam.
Mengabdi dengan Hati, Berkarya untuk Indonesia.

ASABRI Sahabat Perjuangan Anda Sepanjang Masa.
BUMN untuk Indonesia.

#SemangatSenin
#SemangatMelayanidariASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.linkedin.com/posts/pt-asabri-persero_sobatasabri-semangatsenin-semangatmelayanidariasabriuntukindonesia-activity-7319896607955505152-MqqO?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
988;21 April 2025;Selamat Hari Kartini;Hari Besar Nasional;;;Realisasi;LinkedIn;Infografis;"Halo #SobatASABRI

“Habis Gelap, Terbitlah Terang”

Di balik setiap kemajuan, ada keberanian untuk melangkah dari gelap menuju terang. Mari terus bergerak maju dengan semangat yang sama.

Selamat Hari Kartini
21 April 2025

ASABRI,
Sahabat Perjuangan Anda Sepanjang Masa.

#HariKartini
#SemangatMelayanidariASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.linkedin.com/posts/pt-asabri-persero_sobatasabri-harikartini-semangatmelayanidariasabriuntukindonesia-activity-7319877859630624769-3ziH?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
989;20 April 2025;Selamat Memperingati Hari Raya Paskah;Hari Besar Nasional;;;Realisasi;LinkedIn;Infografis;"Halo #SobatASABRI

Paskah membawa pesan tentang harapan dan awal yang baru. Terang-Nya telah datang, damai-Nya tak pernah padam dan akan ada selalu harapan baru yang menanti.

Selamat Hari Paskah, semoga semangat baru membawa kita untuk terus melangkah dengan penuh optimisme.

ASABRI Sahabat Perjuangan Anda Sepanjang Masa.

#HariPaskah
#SemangatMelayanidariASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia
";https://www.linkedin.com/posts/pt-asabri-persero_sobatasabri-haripaskah-semangatmelayanidariasabriuntukindonesia-activity-7319613686002720768-zdwz?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
990;18 April 2025;Selamat Memperingati Jumat Agung;Hari Besar Nasional;;;Realisasi;LinkedIn;Infografis;"Halo #SobatASABRI

Jumat Agung mengingatkan kita tentang pentingnya pengorbanan dan pelayanan. Semoga semangat ini menginspirasi kita dalam bekerja dan melayani dengan sepenuh hati.

ASABRI Sahabat Perjuangan Anda Sepanjang Masa.

#JumatAgung
#SemangatMelayanidariASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.linkedin.com/posts/pt-asabri-persero_sobatasabri-jumatagung-semangatmelayanidariasabriuntukindonesia-activity-7319613574895521792--LLP?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
991;14 April 2025;Semangat Hari Senin;Senin Semangat;;;Realisasi;LinkedIn;Video;"Halo #SobatASABRI 
Selamat dan Semangat Hari Senin! 

Kami adalah Insan ASABRI. 
Kami berkarya dengan integritas, melayani dengan sepenuh hati, melangkah maju bersama Indonesia.

ASABRI Sahabat Perjuangan Anda Sepanjang Masa.

#SemangatSenin
#SemangatMelayanidariASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.linkedin.com/posts/pt-asabri-persero_sobatasabri-semangatsenin-semangatmelayanidariasabriuntukindonesia-activity-7317391195066748928-SfVL?utm_source=share&utm_medium=member_desktop&rcm=ACoAADhMDO4Bkv1g3e6HHGdUhvWIjYUh1Or7h2I;;Approve Sesper;
